spend,date,supplier,region,relatedBOM_name,quantity,spend_type,franchise,material_category,subcategory,warehouse
92891.00,2020-01-20,E,Grenada,region,93,Capital,he,score,industry,"28017 Donna Cliff Suite 843 New Branditon, TN 33472"
34679.25,2023-02-09,D,Kazakhstan,standard,24,Indirect,activity,marriage,attorney,"2910 Cody Overpass Suite 214 Pooleton, NC 40574"
80722.13,2020-08-26,C,Bahrain,analysis,65,Direct,consider,fear,according,"738 Gonzalez Manor Suite 531 West James, IA 54451"
39600.62,2023-02-27,E,Rwanda,song,18,Capital,another,letter,whole,"041 Brianna Island New Jasonport, ID 35791"
80114.77,2023-02-19,B,Svalbard & Jan Mayen Islands,buy,41,Direct,prove,total,his,"PSC 1930, Box 1504 APO AE 83223"
14333.68,2021-12-20,B,Nicaragua,budget,43,Direct,along,number,sound,"86493 Rodriguez Junctions Mcphersonville, AK 99468"
85287.88,2023-08-23,E,Gibraltar,yard,62,Indirect,step,local,hit,"96225 Marshall Meadow Apt. 479 Richardsside, ND 34980"
54817.17,2022-02-17,C,Austria,listen,77,Direct,above,current,through,"10648 Garcia Hollow Suite 415 South Paulside, MS 42421"
72897.09,2021-12-07,D,Ghana,sure,58,Direct,program,government,protect,"20388 Adkins Fields Suite 682 Carterhaven, VA 19422"
30222.71,2022-12-05,B,Comoros,mention,87,Indirect,purpose,remember,or,"7729 Adrian Drive Lake Kayla, MN 41678"
22095.79,2021-01-05,C,Rwanda,late,72,Indirect,necessary,not,lead,"363 King Alley Suite 065 Johnchester, CT 40534"
99960.16,2021-11-18,E,Solomon Islands,leave,7,Direct,evening,sit,guy,"299 Robert Streets Lake David, KY 71006"
75650.18,2023-10-29,B,Yemen,two,79,Indirect,reflect,money,note,"20115 Garcia Stravenue North Amandachester, OK 88109"
35169.27,2023-01-13,E,Thailand,personal,61,Capital,federal,site,within,"0131 Shannon Circle Suite 219 Lewisfort, WV 65763"
90108.08,2022-01-12,D,Morocco,beat,99,Direct,alone,life,that,"722 Arnold Mills Suite 142 New Josephchester, HI 84110"
47855.68,2022-06-18,A,Trinidad and Tobago,action,79,Indirect,ability,father,have,"6969 Lori Fords Suite 940 Shawnborough, MP 43011"
60780.24,2022-11-14,A,China,gas,67,Direct,with,stop,cause,"54736 Mcgee Rue Palmershire, NM 62412"
37247.60,2022-08-30,D,Jersey,chance,23,Capital,close,cup,issue,"6846 Herring Turnpike Apt. 546 Warnerfurt, NH 35776"
95911.82,2021-01-28,D,Brazil,next,25,Capital,drop,cell,support,USNS Brown FPO AA 40736
18002.90,2021-10-05,D,Israel,him,13,Capital,effort,series,do,USS Whitehead FPO AE 83043
73259.67,2020-10-08,A,Andorra,product,14,Capital,notice,enough,sing,"0655 Phillip Island Suite 331 South Rebeccatown, TN 77960"
37397.72,2020-11-08,A,Saint Vincent and the Grenadines,alone,99,Capital,evening,this,before,"360 Jennifer Crossing Apt. 308 Port Bryanville, MS 51160"
6047.72,2023-11-05,A,France,discover,84,Indirect,ago,daughter,stage,"4267 Nelson Expressway Port Cole, MA 02968"
62554.21,2021-06-02,E,United States Minor Outlying Islands,well,10,Capital,vote,single,board,"194 Leblanc Hollow Apt. 210 South Jontown, TN 99323"
51190.53,2021-01-25,B,Cuba,fish,60,Direct,put,card,meet,"7889 Carter Roads Suite 027 Natashaside, AR 96653"
60690.07,2023-01-14,A,Botswana,seven,44,Direct,this,rate,miss,"01364 Cowan Drive Apt. 843 North Danielmouth, CA 26092"
77698.87,2021-11-23,E,Botswana,fast,1,Direct,often,significant,compare,"122 Danielle Stream Lake Darin, RI 61824"
56947.89,2021-07-28,A,Ghana,especially,14,Capital,opportunity,wide,stand,"7253 Smith Underpass Apt. 870 North Kiarahaven, NH 22962"
27152.20,2022-07-26,E,Kenya,score,61,Direct,tree,ever,project,"7908 Carlos Port Suarezside, VA 19771"
57266.41,2022-06-09,C,Jersey,walk,18,Direct,back,only,break,"4555 Perry Spring Apt. 779 New Dylantown, NJ 06752"
98496.12,2020-08-09,C,Saint Vincent and the Grenadines,popular,12,Direct,house,bed,test,"944 Johnson Run East Cassandrafort, VA 54243"
28969.20,2023-12-26,A,Mayotte,as,50,Direct,choice,soon,camera,"7717 Scott Circles Suite 135 North Nathan, GA 67261"
61455.12,2023-07-09,D,Romania,hear,92,Direct,entire,conference,choice,"72171 Seth Plains Apt. 829 West Kimberly, ID 21292"
21347.56,2021-01-08,E,China,north,30,Direct,believe,team,remain,"40185 Martin Squares Port Kyleshire, ME 31968"
48058.92,2022-02-16,D,United States of America,buy,34,Capital,scientist,hope,short,"308 Yolanda Fields New Jacob, TN 58080"
65220.86,2021-01-25,C,Tajikistan,body,49,Direct,difficult,structure,shoulder,"787 Shaw Hollow Suite 938 Paynefurt, OH 45126"
62581.10,2023-09-26,A,Holy See (Vatican City State),outside,49,Direct,control,concern,serve,"743 Felicia Islands Suite 400 North Aaron, NM 84205"
24622.34,2021-03-02,C,Algeria,hundred,70,Indirect,tonight,fact,industry,"1366 Turner Park Jamesburgh, GA 68504"
40940.31,2020-12-23,D,Bolivia,family,92,Indirect,tonight,make,indicate,"2562 Scott Harbor Suite 938 East Ashleymouth, WA 51258"
77588.51,2020-07-23,C,Mongolia,deal,53,Direct,begin,current,start,"44492 Brittany Squares Apt. 146 Smithfurt, MP 53450"
83275.96,2020-10-10,C,Philippines,another,82,Capital,again,rule,open,"0053 Jamie Turnpike Suite 334 Joseville, PA 51315"
66928.89,2022-05-30,A,Pakistan,position,94,Indirect,issue,institution,fight,"8824 Phillip Fords Port Craighaven, CO 00962"
86187.72,2023-05-15,E,Slovenia,serious,87,Direct,world,white,let,"28265 Potts Streets South Spencertown, KY 18790"
72082.58,2022-08-31,C,Bahamas,most,26,Capital,dream,different,enter,"32050 Peterson Plain West Mistyfort, GU 29809"
72566.23,2021-07-15,D,Moldova,personal,91,Capital,woman,drop,word,"71699 David Road Apt. 428 Huffborough, MN 64586"
5412.12,2023-08-11,C,Tunisia,security,82,Direct,affect,tend,away,"123 Brown Groves West Brandonburgh, DE 10574"
37525.28,2022-06-13,C,Kyrgyz Republic,blue,62,Indirect,detail,pretty,along,Unit 1401 Box 9133 DPO AE 29547
6544.21,2022-07-31,C,Antarctica (the territory South of 60 deg S),Mrs,27,Direct,yourself,knowledge,difference,"052 Stephanie Pass Suite 419 West Adamtown, VT 39414"
81409.37,2022-10-27,A,Turkey,from,50,Direct,commercial,usually,entire,"3500 Michael Place Apt. 738 Tylerborough, NE 08064"
36507.69,2022-03-26,D,Oman,unit,22,Direct,everybody,prevent,statement,"666 Amber Parkway Apt. 211 South Markberg, WA 58554"
16029.44,2022-10-20,A,Swaziland,condition,99,Indirect,finally,owner,pay,"7632 Brian Fort East Danland, VT 87792"
24215.21,2021-10-31,C,Cuba,defense,50,Direct,city,better,newspaper,"3262 Johnson Fork Edwardston, HI 92667"
94580.60,2022-03-23,D,Palau,president,68,Direct,sell,customer,prevent,"085 Sherry Path Suite 426 Port Olivia, IN 95194"
54206.84,2021-09-21,B,Pitcairn Islands,fill,21,Indirect,whose,use,boy,"4565 Courtney Lodge Cisnerosfort, DE 21518"
99396.22,2022-12-06,A,Myanmar,source,38,Indirect,man,his,after,"9205 Knight Fords Vazquezburgh, WY 22819"
53061.24,2023-09-03,D,Turks and Caicos Islands,himself,79,Indirect,network,our,keep,"11575 Allison Bridge Apt. 727 West Kimberly, UT 97847"
94471.55,2020-03-11,D,Martinique,court,96,Indirect,walk,student,yeah,"90134 Goodman Ferry Apt. 023 South Jeremyshire, NY 19589"
55365.65,2021-07-26,D,Cyprus,decade,71,Direct,size,PM,indeed,Unit 2672 Box 8444 DPO AA 90473
29175.46,2022-12-04,C,Mexico,pass,71,Capital,charge,draw,yeah,"0126 Dennis Canyon Lake Richard, UT 51007"
20411.66,2021-04-09,C,Spain,training,64,Direct,develop,fall,firm,"41504 Hurst Rest Suite 608 Deckerburgh, MS 24788"
8011.91,2022-03-08,D,Jersey,suffer,29,Indirect,race,collection,from,"3585 Samantha Pine Carrollhaven, NV 07816"
22372.78,2020-06-10,D,Guyana,suggest,12,Direct,direction,use,specific,"31800 Anthony Lock Suite 153 West Jonathan, MO 43114"
49198.87,2020-04-24,E,Mali,speak,8,Capital,scene,raise,establish,"PSC 4439, Box 9220 APO AE 81599"
73290.99,2022-02-08,E,Guam,day,39,Direct,church,poor,world,"3439 Fernandez Forge North Jacquelineville, MT 88833"
60925.35,2023-11-06,A,North Macedonia,around,78,Capital,behind,sport,management,"36995 Ramirez Burg West Williamside, HI 54037"
2206.97,2021-06-28,D,Palestinian Territory,arm,79,Indirect,offer,network,positive,"62714 Marcus Lights Melissafort, AL 51919"
71885.23,2021-10-29,D,Kiribati,lead,27,Indirect,these,season,question,"74092 Warner Village Suite 909 Lake Tinashire, GA 71431"
91940.77,2020-02-04,E,Japan,first,26,Indirect,player,practice,defense,"020 James Mountain Lisaberg, ME 48629"
21666.90,2023-05-13,B,Antarctica (the territory South of 60 deg S),cost,42,Indirect,speak,must,coach,"56314 Daniel Lakes Suite 774 Jonesland, AZ 86408"
15250.82,2020-01-19,E,Montserrat,anything,41,Direct,too,yes,hit,"43418 Gregg Alley Suite 284 West Rhonda, MO 41791"
32311.43,2020-09-22,C,Serbia,resource,19,Direct,minute,human,rock,"79431 Stephanie Station West Ashleymouth, PA 64817"
69937.06,2021-02-03,C,Togo,claim,81,Capital,defense,strategy,month,"57720 Justin Parkways West Anthony, MI 07379"
95655.17,2020-04-18,A,Austria,partner,51,Indirect,drug,evening,reason,"895 Jeffrey Forge Ellenshire, MI 66552"
86831.09,2020-03-08,C,Dominica,spend,32,Capital,support,or,prepare,"1762 Robert Crossroad Priceland, SC 62046"
2106.36,2020-05-01,C,Lebanon,sense,2,Capital,hand,bill,break,"30772 Ruben Islands Apt. 921 Kevinton, NM 97729"
87433.67,2020-10-23,A,Canada,some,47,Indirect,cover,born,bank,"779 Tyler Walk Suite 097 Watsonstad, NV 17761"
74695.45,2023-01-28,D,Antigua and Barbuda,green,7,Capital,cut,truth,onto,"7803 Day Via Apt. 423 Port Jamieville, NM 97854"
54386.92,2021-03-20,D,Gabon,city,60,Capital,hospital,truth,suggest,"652 Marissa Fort Apt. 595 Lisamouth, WA 21329"
57750.17,2020-02-25,E,Anguilla,collection,33,Indirect,Mrs,behavior,manager,"0107 Mooney Field Apt. 313 South Michelle, WV 16324"
55851.18,2023-06-22,E,Cameroon,experience,31,Indirect,something,necessary,though,"474 Brown Village Suite 510 Mirandahaven, LA 82614"
82400.72,2020-03-04,A,French Guiana,run,88,Indirect,put,color,more,"2655 Monroe Island Suite 833 Joshuaville, ME 37173"
34990.47,2021-09-14,D,Sao Tome and Principe,impact,27,Capital,push,home,glass,"0504 Ortega Landing Apt. 703 South Thomasport, WY 89869"
10987.59,2022-05-11,B,Tajikistan,some,7,Direct,meet,president,whatever,"42194 Danielle Rue New Paula, GA 54368"
44783.25,2021-06-15,B,Burundi,second,33,Direct,effort,those,year,"91992 Dunn Port Apt. 540 Danielleville, CO 41256"
14990.42,2020-09-02,B,Croatia,avoid,9,Capital,interesting,high,ago,"71937 James Wells Suite 437 Port Karla, OH 94877"
64428.66,2023-08-03,B,Uzbekistan,people,79,Direct,also,meet,voice,"6549 Sanders Haven Karinaborough, UT 76126"
26907.57,2021-02-25,A,Kuwait,entire,79,Capital,sea,major,who,"1022 Tucker Passage East Stevestad, AS 48389"
70002.58,2022-09-13,E,Guam,produce,60,Capital,treat,season,push,Unit 4347 Box 2134 DPO AE 97752
90256.34,2021-07-08,D,Malawi,something,55,Direct,sit,compare,evidence,"5593 Christina Inlet Apt. 530 Port Alexis, NV 70976"
22236.05,2021-09-07,D,Croatia,each,37,Indirect,most,send,against,"307 Graves Estate Lake Lynn, CT 52167"
67245.91,2022-04-15,A,Singapore,responsibility,59,Indirect,pull,meeting,account,"2149 Melissa Radial South Laurenberg, DC 57755"
77790.96,2023-04-17,D,French Southern Territories,contain,36,Capital,just,full,identify,Unit 1740 Box 1869 DPO AA 22921
95467.48,2023-02-21,C,Burkina Faso,race,4,Indirect,heavy,history,discuss,"9837 Nicholas Creek Brownshire, PR 43989"
97190.35,2020-03-20,C,Dominica,security,43,Capital,end,year,player,"39349 Michael Field West Nicoleville, MI 95226"
47509.42,2021-04-08,E,Togo,history,81,Direct,sort,tonight,network,"5864 Solis Stream Apt. 420 New Vanessaton, HI 51206"
36222.00,2020-10-24,C,Namibia,two,95,Capital,defense,peace,research,"25848 Rachael View Suite 931 West Jessica, GA 53240"
38779.81,2022-10-15,A,Morocco,economy,31,Capital,local,bit,manager,"240 Munoz Crossing Apt. 752 Perkinsland, PA 79792"
22673.39,2022-10-28,A,Chile,each,54,Direct,if,speech,even,"91792 Mark Parks Suite 809 Pereztown, AS 45763"
46188.40,2022-01-09,C,Guadeloupe,manager,59,Direct,environmental,herself,reveal,"942 Harris Lane Suite 936 West Robertstad, HI 33562"
19975.80,2022-04-07,C,Albania,buy,71,Direct,challenge,before,thousand,"4855 Kara Overpass Wufurt, TX 44873"
20764.01,2022-08-27,E,Papua New Guinea,part,17,Indirect,throw,party,bad,"990 Daniel Groves Apt. 792 Port Darlene, MO 06702"
56442.34,2020-10-19,D,Central African Republic,source,36,Capital,sort,while,employee,"13541 Contreras Garden Suite 080 New Peter, NY 32346"
71022.83,2022-11-17,C,Malaysia,usually,19,Indirect,matter,theory,factor,"8701 Jon Cape Davidshire, MD 20223"
44912.33,2023-11-19,B,Armenia,impact,66,Indirect,suggest,case,bag,"49533 Steven Forest North Margaretfort, PW 67173"
38064.67,2020-04-17,C,Tonga,director,2,Capital,very,white,body,"08755 Michelle Corners Apt. 249 Lynchside, NY 64815"
2321.64,2022-03-01,C,Ethiopia,student,74,Indirect,skill,feeling,language,"5602 Morris Squares West Catherinehaven, MD 55702"
31547.82,2020-07-05,E,Saint Vincent and the Grenadines,few,43,Indirect,different,green,pass,"6634 Mullins Road Willisshire, CO 73555"
27319.86,2022-12-28,C,Tunisia,skin,90,Indirect,month,hot,also,"954 Michael Hollow Kristopherside, OK 49885"
63468.68,2023-01-18,A,Latvia,film,28,Indirect,indicate,news,instead,"PSC 0333, Box 0374 APO AE 45461"
92795.23,2021-10-01,D,Congo,reduce,27,Direct,real,town,skin,Unit 5599 Box 5399 DPO AE 95819
17479.89,2020-10-30,E,Cook Islands,player,24,Capital,onto,address,position,"37021 Vanessa Islands Apt. 998 North Johnnyshire, LA 10103"
15704.86,2023-07-13,B,Dominica,popular,4,Capital,sort,dream,dark,"8712 Heather Vista South Maxwell, IN 70066"
84825.91,2023-07-11,A,United Arab Emirates,senior,100,Indirect,travel,information,official,"793 Raymond Estates Suite 627 North Jonathanville, IN 03508"
65613.02,2020-08-25,D,Brunei Darussalam,person,58,Direct,good,investment,arm,"4039 Wanda Unions Suite 475 Dominguezborough, AR 96989"
91483.39,2020-04-19,B,Papua New Guinea,citizen,32,Capital,development,late,modern,"068 Reyes Lake Tracyshire, MT 96588"
76024.52,2022-08-10,C,Equatorial Guinea,fast,81,Capital,need,exist,operation,"88976 Miranda Squares Suite 043 New Keith, NJ 41966"
2333.32,2023-07-20,B,El Salvador,girl,72,Indirect,never,brother,draw,"7217 Thomas Club North Sheenaside, NJ 92107"
94227.91,2021-10-24,B,Taiwan,create,80,Direct,generation,easy,social,"47407 Rose Mills Apt. 754 Chadfort, VI 86719"
13748.71,2021-09-05,D,China,tax,30,Direct,type,medical,today,"334 Greg Ways Apt. 950 West Katherine, IA 53577"
63374.88,2020-10-29,E,Trinidad and Tobago,hair,44,Indirect,less,water,out,"751 Johnson Place Robinberg, CT 44453"
45688.80,2021-06-14,D,Palestinian Territory,movement,53,Capital,detail,describe,affect,"840 Kenneth Canyon Suite 279 Barberland, SD 34684"
88284.34,2023-11-23,A,El Salvador,future,42,Indirect,listen,back,race,"5881 Calvin Streets North Lindaville, FL 84438"
6187.70,2021-04-04,B,South Georgia and the South Sandwich Islands,daughter,29,Capital,theory,art,try,USS Tyler FPO AA 74478
85308.05,2020-03-09,C,Azerbaijan,left,97,Capital,than,rich,final,"5767 Dennis Shoals East Benjaminton, RI 73344"
35097.08,2023-12-13,D,Greece,international,48,Indirect,too,rich,against,"990 Edward Courts Kirbyshire, RI 61337"
58706.31,2020-10-06,E,Yemen,all,21,Capital,consider,suffer,employee,"870 Jason Dale Lisaport, GU 22983"
97032.55,2021-08-03,C,Bahamas,style,1,Indirect,likely,table,time,"PSC 3312, Box 1485 APO AE 23891"
40664.07,2023-05-29,E,Turkey,almost,37,Indirect,soldier,almost,today,"24046 Nguyen Camp Suite 931 Stevenstad, RI 08537"
16908.90,2021-03-25,C,Canada,win,94,Indirect,center,happy,wife,"1407 Julie Mills Suite 860 Evansstad, FL 81724"
47671.86,2023-02-13,B,Kenya,toward,31,Capital,somebody,heavy,beat,"832 Brooke Mount Suite 986 Port Shaneport, NM 95375"
65642.45,2022-07-01,E,Central African Republic,score,95,Indirect,position,win,collection,"4484 Carolyn Valley Apt. 227 South Sean, IL 70514"
84754.52,2022-01-20,E,Togo,financial,12,Indirect,security,health,old,"1235 Holmes Ways Suite 342 New Kimberly, DC 32215"
4919.66,2021-05-16,B,Russian Federation,sound,87,Indirect,find,common,big,"2256 Moore Spring Lake Joshua, NH 39820"
84238.10,2020-02-14,C,Netherlands Antilles,for,86,Indirect,as,clearly,pass,"1197 Jeremiah Curve Hallchester, IA 91325"
27253.17,2023-03-18,D,Mayotte,degree,25,Direct,listen,medical,scene,"477 Garcia Track Suite 690 Lake Christinaburgh, WV 29219"
44439.72,2022-02-27,B,Chile,sign,1,Direct,sea,not,vote,"957 Catherine Spring Apt. 273 Sanchezside, WV 79459"
14171.97,2022-02-07,E,Tonga,realize,11,Capital,moment,account,half,"50283 Malone Mills North Anthony, MD 18973"
58602.02,2022-05-01,C,Uruguay,avoid,47,Capital,conference,job,effort,"2301 Schultz Grove West Adam, KY 32120"
12214.69,2022-11-15,D,Cambodia,role,83,Indirect,join,network,upon,"38009 Thompson Pass Suite 065 Lake Jenniferview, FM 16617"
75204.33,2020-10-27,B,Belgium,born,14,Indirect,few,play,provide,"49675 Jonathan Glen Huffmanville, KS 48090"
53482.61,2022-12-30,C,Lithuania,two,33,Direct,everything,once,moment,"31411 Harris Manor Lake Michelle, GA 92747"
8951.31,2021-06-13,A,Niue,capital,1,Indirect,present,exactly,short,"0856 David River South Sarah, DC 87124"
87921.21,2022-06-16,A,Belarus,most,10,Capital,economic,forget,produce,"734 Chad Branch Suite 334 Nelsonhaven, VT 89589"
49997.36,2020-11-29,D,Lao People's Democratic Republic,six,36,Indirect,score,soldier,debate,"3831 Lee Station Apt. 377 Colemanborough, MT 94469"
